"X","length","width","height","curb.weight","engine.size","horsepower","city.mpg","highway.mpg","price"
1,168.8,64.1,48.8,2548,130,111,21,27,13495
2,168.8,64.1,48.8,2548,130,111,21,27,16500
3,171.2,65.5,52.4,2823,152,154,19,26,16500
4,176.6,66.2,54.3,2337,109,102,24,30,13950
5,176.6,66.4,54.3,2824,136,115,18,22,17450
6,177.3,66.3,53.1,2507,136,110,19,25,15250
7,192.7,71.4,55.7,2844,136,110,19,25,17710
8,192.7,71.4,55.7,2954,136,110,19,25,18920
9,192.7,71.4,55.9,3086,131,140,17,20,23875
10,178.2,67.9,52,3053,131,160,16,22,NA
11,176.8,64.8,54.3,2395,108,101,23,29,16430
12,176.8,64.8,54.3,2395,108,101,23,29,16925
13,176.8,64.8,54.3,2710,164,121,21,28,20970
14,176.8,64.8,54.3,2765,164,121,21,28,21105
15,189,66.9,55.7,3055,164,121,20,25,24565
16,189,66.9,55.7,3230,209,182,16,22,30760
17,193.8,67.9,53.7,3380,209,182,16,22,41315
18,197,70.9,56.3,3505,209,182,15,20,36880
19,141.1,60.3,53.2,1488,61,48,47,53,5151
20,155.9,63.6,52,1874,90,70,38,43,6295
21,158.8,63.6,52,1909,90,70,38,43,6575
22,157.3,63.8,50.8,1876,90,68,37,41,5572
23,157.3,63.8,50.8,1876,90,68,31,38,6377
24,157.3,63.8,50.8,2128,98,102,24,30,7957
25,157.3,63.8,50.6,1967,90,68,31,38,6229
26,157.3,63.8,50.6,1989,90,68,31,38,6692
27,157.3,63.8,50.6,1989,90,68,31,38,7609
28,157.3,63.8,50.6,2191,98,102,24,30,8558
29,174.6,64.6,59.8,2535,122,88,24,30,8921
30,173.2,66.3,50.2,2811,156,145,19,24,12964
31,144.6,63.9,50.8,1713,92,58,49,54,6479
32,144.6,63.9,50.8,1819,92,76,31,38,6855
33,150,64,52.6,1837,79,60,38,42,5399
34,150,64,52.6,1940,92,76,30,34,6529
35,150,64,52.6,1956,92,76,30,34,7129
36,163.4,64,54.5,2010,92,76,30,34,7295
37,157.1,63.9,58.3,2024,92,76,30,34,7295
38,167.5,65.2,53.3,2236,110,86,27,33,7895
39,167.5,65.2,53.3,2289,110,86,27,33,9095
40,175.4,65.2,54.1,2304,110,86,27,33,8845
41,175.4,62.5,54.1,2372,110,86,27,33,10295
42,175.4,65.2,54.1,2465,110,101,24,28,12945
43,169.1,66,51,2293,110,100,25,31,10345
44,170.7,61.8,53.5,2337,111,78,24,29,6785
45,155.9,63.6,52,1874,90,70,38,43,NA
46,155.9,63.6,52,1909,90,70,38,43,NA
47,172.6,65.2,51.4,2734,119,90,24,29,11048
48,199.6,69.6,52.8,4066,258,176,15,19,32250
49,199.6,69.6,52.8,4066,258,176,15,19,35550
50,191.7,70.6,47.8,3950,326,262,13,17,36000
51,159.1,64.2,54.1,1890,91,68,30,31,5195
52,159.1,64.2,54.1,1900,91,68,31,38,6095
53,159.1,64.2,54.1,1905,91,68,31,38,6795
54,166.8,64.2,54.1,1945,91,68,31,38,6695
55,166.8,64.2,54.1,1950,91,68,31,38,7395
56,169,65.7,49.6,2380,70,101,17,23,10945
57,169,65.7,49.6,2380,70,101,17,23,11845
58,169,65.7,49.6,2385,70,101,17,23,13645
59,169,65.7,49.6,2500,80,135,16,23,15645
60,177.8,66.5,53.7,2385,122,84,26,32,8845
61,177.8,66.5,55.5,2410,122,84,26,32,8495
62,177.8,66.5,53.7,2385,122,84,26,32,10595
63,177.8,66.5,55.5,2410,122,84,26,32,10245
64,177.8,66.5,55.5,2443,122,64,36,42,10795
65,177.8,66.5,55.5,2425,122,84,26,32,11245
66,175,66.1,54.4,2670,140,120,19,27,18280
67,175,66.1,54.4,2700,134,72,31,39,18344
68,190.9,70.3,56.5,3515,183,123,22,25,25552
69,190.9,70.3,58.7,3750,183,123,22,25,28248
